
OPTIMIZING ON FOLD NUMBER 8
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5898
Features active in total: 5898
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 106
PRCC T2: 46
ccRCC: 324
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 40
Generations completed = 83
Generations completed = 125
Generations completed = 166
Generations completed = 206
Generations completed = 245
Generations completed = 285
Generations completed = 325
Generations completed = 362
Generations completed = 397
Generations completed = 430
Generations completed = 463
   	     	         	        	   type random forest (msl4) balanced accuracy   	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std                  	min     	avg     	max	std     
(0.8917507089986121, 0.4472135954999579) 4 features: [0_ANGPTL4, 0_IDI1, 0_PDZK1IP1, 0_SQSTM1]
(0.8622816035792742, 0.5) [0_CA9, 0_HNF1B, 0_SQSTM1]
(0.7981790023357327, 0.5773502691896257) [0_PLCG2, 0_SLC27A4]
(0.6640936629502681, 0.7071067811865476) [0_PLCG2]
(0.2, 1.0) []
Features in hall of fame by prevalence:
37 features: [0_SQSTM1, 0_ANGPTL4, 0_GRPEL2, 0_RANBP3L, 0_DHCR7, 0_PDZK1IP1, 0_RBM17, 0_TTLL3, 0_PLCG2, 0_IDI1, 0_PCYOX1, 0_RBM5, 0_TMEM176B, 0_ACTN3, 0_BHMT2, 0_BMI1, 0_CA9, 0_CD47, 0_CDK18, 0_CRISP3, 0_DACH2, 0_DDX5, 0_HNF1B, 0_IGF2BP2, 0_ISCU, 0_MCM6, 0_MGAT1, 0_NDUFA8, 0_NUS1, 0_PCDHGA6, 0_RCBTB2, 0_SLC27A4, 0_SLC3A1, 0_STAB1, 0_UNC5CL, 0_VDAC1, 0_WWC1]

LAST POPULATION
Number of solutions = 500
Features in hall of fame by prevalence:
348 features: [0_SQSTM1, 0_ANGPTL4, 0_RANBP3L, 0_DHCR7, 0_GRPEL2, 0_PDZK1IP1, 0_RBM17, 0_RBM5, 0_TTLL3, 0_PCYOX1, 0_PLCG2, 0_DACH2, 0_TMEM176B, 0_IDI1, 0_SGSM1, 0_REC8, 0_CCNL2, 0_CDK18, 0_MYBBP1A, 0_MAPK8IP3, 0_ACTN3, 0_BHMT2, 0_HNF1B, 0_RCBTB2, 0_TEK, 0_ENPP3, 0_NDUFA8, 0_MCM6, 0_VDAC1, 0_DCAF12L1, 0_LDB2, 0_LUC7L3, 0_PCDHGA6, 0_TMEM106C, 0_FLRT3, 0_C9orf116, 0_AASDHPPT, 0_CA9, 0_DPP4, 0_SPHKAP, 0_IGF2BP2, 0_NKTR, 0_VEGFA, 0_ZDHHC6, 0_AKR1C3, 0_FAR1, 0_MAOB, 0_ARGLU1, 0_FAM20A, 0_GTSF1, 0_MLST8, 0_TPK1, 0_UAP1, 0_UNC5CL, 0_USO1, 0_ATP6V1A, 0_COX11, 0_DPF2, 0_FLOT2, 0_GRHPR, 0_KANK2, 0_LRRC28, 0_METTL7B, 0_NUDT9, 0_PTPN13, 0_RNF31, 0_SUFU, 0_GAS2L1, 0_RBL2, 0_SETD4, 0_TAS1R1, 0_TBC1D1, 0_TCF4, 0_WDR54, 0_AMACR, 0_ATP6V1B1, 0_ATP8A1, 0_C18orf32, 0_DNMT3A, 0_DPYSL2, 0_HSPA6, 0_IK, 0_ITPKC, 0_KIAA0895L, 0_MAT2A, 0_NR1H3, 0_NTN1, 0_NUS1, 0_PBXIP1, 0_PLEK2, 0_SAP30, 0_SCARB1, 0_SLC17A4, 0_TPM4, 0_ACBD4, 0_ALKBH3, 0_B4GALNT3, 0_BBC3, 0_C19orf54, 0_CDKN2A, 0_CEMP1, 0_CHP2, 0_CLTB, 0_CNOT8, 0_CRHBP, 0_DCLK1, 0_DEDD, 0_DOK1, 0_FBXO30, 0_FNBP1L, 0_FUBP1, 0_FZD1, 0_GLOD4, 0_GLRX5, 0_GRHL1, 0_HAX1, 0_HBD, 0_HECTD1, 0_KRT7, 0_LBR, 0_LIPT2, 0_MCM9, 0_MKS1, 0_MRPL13, 0_MRPL3, 0_NFKB2, 0_NME5, 0_NNT, 0_OSBPL1A, 0_PIK3R6, 0_PLEC, 0_PNPLA2, 0_PRRT3, 0_PYGL, 0_RILPL2, 0_RNF149, 0_SCYL3, 0_SEMA3F, 0_SLC27A4, 0_SLC46A3, 0_SOCS2, 0_TBC1D14, 0_TMEM176A, 0_TRDMT1, 0_UNC50, 0_VGLL4, 0_WDFY3, 0_WWC1, 0_YWHAE, 0_ABCA4, 0_ABHD3, 0_ACSS1, 0_ACYP1, 0_ADAM17, 0_ADCY2, 0_ADCY6, 0_AHNAK2, 0_ANAPC7, 0_ANPEP, 0_APRT, 0_ARCN1, 0_ARHGEF11, 0_ARL5B, 0_ATG4C, 0_ATP8B1, 0_AZIN1, 0_B9D2, 0_BAZ1A, 0_BCKDHA, 0_BMI1, 0_BMP2K, 0_BSCL2, 0_C1orf194, 0_C2CD3, 0_C5orf34, 0_C8G, 0_CARHSP1, 0_CASP2, 0_CCDC102B, 0_CD151, 0_CD47, 0_CDC25C, 0_CDCA5, 0_CDK5RAP3, 0_CNIH4, 0_COL18A1, 0_COL4A3, 0_CPNE5, 0_CRISP3, 0_CRYL1, 0_CSRNP3, 0_CTTNBP2, 0_CYB5R3, 0_CYLD, 0_DDB2, 0_DDX3Y, 0_DDX5, 0_DEXI, 0_DHRS9, 0_DIABLO, 0_DNAJC10, 0_DOHH, 0_DSN1, 0_ELP2, 0_ENGASE, 0_ENY2, 0_ERH, 0_FABP7, 0_FAM3C, 0_FANCC, 0_FBXO33, 0_FICD, 0_FTL, 0_GABARAPL1, 0_GBP1, 0_GGTLC1, 0_GIMAP8, 0_GPKOW, 0_GPR155, 0_GRINA, 0_HCCS, 0_HDAC4, 0_HLA-B, 0_HNRNPD, 0_HOXD4, 0_HPCA, 0_HPCAL1, 0_HSF1, 0_HSPA1A, 0_HTATIP2, 0_IDH3A, 0_IGSF8, 0_IL10, 0_IMPACT, 0_IPO11, 0_ISCU, 0_KIF13B, 0_KLF3, 0_KLHL32, 0_LARS2, 0_LGR5, 0_LGR6, 0_LPCAT1, 0_LY75, 0_MDC1, 0_MED1, 0_MGAT1, 0_MGST2, 0_MPST, 0_MRPL38, 0_MRPS11, 0_MRPS23, 0_MTCH1, 0_MTMR11, 0_MVK, 0_MYO7B, 0_NCKAP1L, 0_NEDD4L, 0_NLE1, 0_NLGN1, 0_NOP58, 0_NPTN, 0_NR2C1, 0_NR3C2, 0_NRG2, 0_NT5DC2, 0_NUDT5, 0_PCDHGB3, 0_PCNP, 0_PDS5A, 0_PEX16, 0_PFN1, 0_PGAP2, 0_PGAP3, 0_PHF1, 0_PHF23, 0_PIAS1, 0_PIGL, 0_PLEKHB2, 0_POFUT1, 0_POU2F2, 0_PPP2R1B, 0_PTGES2, 0_PTPN22, 0_RAB17, 0_RAB28, 0_RAB9B, 0_RABIF, 0_RAD1, 0_RAPGEF4, 0_REPS1, 0_RFT1, 0_RGMA, 0_RGPD4, 0_RNF187, 0_RNF4, 0_RPL8, 0_RPS17, 0_RPS29, 0_RPS6KB1, 0_RRAGA, 0_RRAGD, 0_SCGN, 0_SDCBP2, 0_SDF4, 0_SDHD, 0_SETD3, 0_SETDB2, 0_SH3GLB1, 0_SLC13A1, 0_SLC25A12, 0_SLC31A2, 0_SLC35D2, 0_SLC37A4, 0_SLC38A7, 0_SLC43A1, 0_SLC9A2, 0_SNF8, 0_SNRPD2, 0_SPATA18, 0_SPRY1, 0_SRPX2, 0_ST13, 0_ST8SIA5, 0_STAB1, 0_SYNGR3, 0_TBC1D22A, 0_TMEM132E, 0_TMEM205, 0_TMEM33, 0_TMEM50B, 0_TMTC1, 0_TOMM20, 0_TPBG, 0_TPRN, 0_TRAPPC2L, 0_TRIM52, 0_TSKU, 0_TTC1, 0_TTC7A, 0_TUBA1C, 0_TUBB1, 0_UBA5, 0_VPS18, 0_VPS35, 0_WRAP53, 0_ZMYM6, 0_ZNF782]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
38 features: [0_SQSTM1, 0_PLCG2, 0_DHCR7, 0_ENPP3, 0_TEK, 0_CA9, 0_ANGPTL4, 0_LDB2, 0_VEGFA, 0_CDK18, 0_AKR1C3, 0_BHMT2, 0_C9orf116, 0_HNF1B, 0_RANBP3L, 0_SAP30, 0_TBC1D1, 0_ATP6V1A, 0_ATP6V1B1, 0_CHP2, 0_FABP7, 0_FLOT2, 0_FLRT3, 0_FZD1, 0_GGTLC1, 0_GIMAP8, 0_GLRX5, 0_IDI1, 0_MKS1, 0_NNT, 0_NTN1, 0_RAPGEF4, 0_SCARB1, 0_SLC17A4, 0_SLC27A4, 0_TCF4, 0_TPK1, 0_UAP1]

BEST SUMS WITH SIZE 100
Number of solutions = 100
Features in hall of fame by prevalence:
60 features: [0_SQSTM1, 0_PLCG2, 0_ANGPTL4, 0_CA9, 0_ENPP3, 0_LDB2, 0_DHCR7, 0_RANBP3L, 0_TEK, 0_CDK18, 0_VEGFA, 0_AKR1C3, 0_UAP1, 0_BHMT2, 0_FLRT3, 0_HNF1B, 0_TBC1D1, 0_ATP6V1B1, 0_SCARB1, 0_C9orf116, 0_IDI1, 0_KRT7, 0_RAPGEF4, 0_SAP30, 0_SLC17A4, 0_SLC27A4, 0_TPK1, 0_AMACR, 0_ATP6V1A, 0_B4GALNT3, 0_C6orf132, 0_CHP2, 0_CRYAB, 0_FABP7, 0_FLOT2, 0_FZD1, 0_GGTLC1, 0_GIMAP8, 0_GLRX5, 0_KIF13B, 0_MCCC2, 0_MKS1, 0_NNT, 0_NTN1, 0_PDZK1IP1, 0_PYGL, 0_RNF149, 0_RNF213, 0_SDHD, 0_SH3GLB1, 0_SPRY1, 0_SQLE, 0_TCF4, 0_TGFA, 0_TMEM139, 0_TSKU, 0_UBA5, 0_UNC5CL, 0_VPS18, 0_WRAP53]
