
OPTIMIZING ON FOLD NUMBER 2
Number of workers = 8

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5886
Features active in total: 5886
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 54
PRCC T1: 106
PRCC T2: 46
ccRCC: 324
normal: 86

RUNNING GENETIC ALGORITHM
Generations completed = 61
Generations completed = 122
Generations completed = 182
Generations completed = 242
Generations completed = 303
Generations completed = 365
Generations completed = 426
Generations completed = 487
   	     	         	        	        type naive Bayes balanced accuracy       	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std         	min     	avg     	max	std     
(0.959426602009479, 0.23570226039551584) 17 features: [0_ARHGEF10L, 0_C7, 0_CPNE5, 0_EFNB2, 0_ENY2, 0_FAR1, 0_GSTA4, 0_MID1, 0_NDUFA4L2, 0_PDK4, 0_POLD1, 0_RAC2, 0_REN, 0_TBC1D1, 0_TMEM139, 0_TTLL7, 0_VRK1]
(0.9588093180588618, 0.24253562503633297) 16 features: [0_ARHGEF10L, 0_C7, 0_CPNE5, 0_FAR1, 0_GSTA4, 0_MID1, 0_NDUFA4L2, 0_PDK4, 0_POLD1, 0_RAC2, 0_REN, 0_SSBP2, 0_TBC1D1, 0_TMEM139, 0_TTLL7, 0_VEZT]
(0.957539809556649, 0.2581988897471611) 14 features: [0_ADCY4, 0_CPNE5, 0_EFNB2, 0_FAR1, 0_GSTA4, 0_MID1, 0_NDUFA4L2, 0_PDK4, 0_POLD1, 0_RAC2, 0_REN, 0_TBC1D1, 0_TMEM139, 0_TTLL7]
(0.9519224749674795, 0.2672612419124244) 13 features: [0_ADCY4, 0_CPNE5, 0_EFNB2, 0_FAR1, 0_MID1, 0_NDUFA4L2, 0_PDK4, 0_POLD1, 0_RAC2, 0_REN, 0_TBC1D1, 0_TMEM139, 0_TTLL7]
(0.951787022728702, 0.30151134457776363) 10 features: [0_ATP11A, 0_EFNB2, 0_EPHA3, 0_GSTA4, 0_MDFIC, 0_NDUFA4L2, 0_POLD1, 0_TBC1D1, 0_TMEM139, 0_TTLL7]
(0.9416864098137985, 0.31622776601683794) 9 features: [0_CPNE5, 0_EFNB2, 0_MID1, 0_NDUFA4L2, 0_OPHN1, 0_PDK4, 0_RAC2, 0_TBC1D1, 0_TMEM139]
(0.9386655610975329, 0.3333333333333333) 8 features: [0_EFNB2, 0_KCNE3, 0_MID1, 0_NDUFA4L2, 0_PDK4, 0_TBC1D1, 0_TMEM139, 0_TTLL7]
(0.9311963746565116, 0.3535533905932738) 7 features: [0_EFNB2, 0_GSTA4, 0_MID1, 0_NDUFA4L2, 0_PDE10A, 0_TBC1D1, 0_TMEM139]
(0.9287004004214069, 0.3779644730092272) 6 features: [0_EFNB2, 0_MID1, 0_NDUFA4L2, 0_PDE10A, 0_TBC1D1, 0_TMEM139]
(0.9168484472924507, 0.408248290463863) 5 features: [0_EFNB2, 0_NDUFA4L2, 0_RAC2, 0_TBC1D1, 0_TMEM139]
(0.8977799940976645, 0.4472135954999579) 4 features: [0_EFNB2, 0_GRPEL2, 0_NDUFA4L2, 0_TBC1D1]
(0.8684936938515613, 0.5) [0_EFNB2, 0_NDUFA4L2, 0_TBC1D1]
(0.7814634753544522, 0.5773502691896257) [0_NDUFA4L2, 0_NTN1]
(0.5932467131457917, 0.7071067811865476) [0_GLRX5]
(0.2, 1.0) []
Features in hall of fame by prevalence:
69 features: [0_NDUFA4L2, 0_TBC1D1, 0_EFNB2, 0_TMEM139, 0_MID1, 0_CPNE5, 0_PDK4, 0_RAC2, 0_TTLL7, 0_GSTA4, 0_POLD1, 0_FAR1, 0_REN, 0_ARHGEF10L, 0_C7, 0_KCNE3, 0_ABCA4, 0_ACVR2B, 0_ADCY4, 0_AK7, 0_ALDH7A1, 0_APIP, 0_ARHGAP23, 0_ASF1B, 0_ATP6V1B2, 0_CALM2, 0_CHST15, 0_CNTN5, 0_COX6A1, 0_EIF4ENIF1, 0_FBXW5, 0_GRB2, 0_HMGA1, 0_ING4, 0_KHDRBS2, 0_LAYN, 0_LYPD6, 0_MAGEE1, 0_PDAP1, 0_PDE10A, 0_PDZK1IP1, 0_PGRMC2, 0_PIF1, 0_PIP5K1C, 0_RCC2, 0_REEP6, 0_RGMA, 0_SACM1L, 0_SMURF2, 0_SNRNP70, 0_SV2C, 0_TMOD1, 0_TNIP1, 0_TOM1, 0_VRK1, 0_ZDHHC6, 0_ATP11A, 0_ENY2, 0_EPHA3, 0_GLRX5, 0_GRPEL2, 0_MDFIC, 0_NTN1, 0_OPHN1, 0_PCBP3, 0_PPIH, 0_SSBP2, 0_UNC45A, 0_VEZT]

LAST POPULATION
Number of solutions = 500
Features in hall of fame by prevalence:
340 features: [0_TBC1D1, 0_NDUFA4L2, 0_EFNB2, 0_TMEM139, 0_POLD1, 0_GSTA4, 0_TTLL7, 0_MID1, 0_EPHA3, 0_CPNE5, 0_PDK4, 0_RAC2, 0_REN, 0_FAR1, 0_KCNE3, 0_VRK1, 0_PDAP1, 0_NDOR1, 0_CNTN5, 0_SACM1L, 0_ZDHHC6, 0_ACVR2B, 0_AK7, 0_ALDH7A1, 0_ATP6V1B2, 0_EIF4ENIF1, 0_LAYN, 0_LYPD6, 0_PDZK1IP1, 0_PGRMC2, 0_TMOD1, 0_TOM1, 0_APIP, 0_CALM2, 0_COX6A1, 0_HMGA1, 0_ING4, 0_KHDRBS2, 0_REEP6, 0_SMURF2, 0_ARHGAP23, 0_FBXW5, 0_MAGEE1, 0_TNIP1, 0_RCC2, 0_SNRNP70, 0_SV2C, 0_PCBP3, 0_ARHGEF10L, 0_C7, 0_PIF1, 0_ASF1B, 0_CHST15, 0_PIP5K1C, 0_SLC13A3, 0_FGFR4, 0_PDE10A, 0_ABCA4, 0_RGMA, 0_GRB2, 0_RAPGEF3, 0_UNC45A, 0_LFNG, 0_MDFIC, 0_DAAM2, 0_SSBP2, 0_PCDHGC4, 0_PHLDB1, 0_STK38, 0_SVEP1, 0_TTC27, 0_LARP4B, 0_TPK1, 0_ATP11A, 0_CDK18, 0_CORO1B, 0_PLD6, 0_UBE2M, 0_DYNC2LI1, 0_NTN1, 0_RPL41, 0_BAALC, 0_CLCN7, 0_ELF3, 0_HNF1B, 0_PHF20, 0_RABGAP1, 0_S1PR1, 0_UBE2G1, 0_DCLK3, 0_DNPEP, 0_EI24, 0_F8, 0_GRPEL2, 0_KRT19, 0_MAVS, 0_NLE1, 0_NSDHL, 0_PAIP1, 0_PLXNB1, 0_RNF213, 0_SAP30, 0_SRPK1, 0_TAX1BP3, 0_TBC1D9B, 0_TOR1AIP1, 0_TSPAN1, 0_UGGT1, 0_ACVR2A, 0_BAX, 0_BCL2L2, 0_CITED2, 0_CP, 0_FUT8, 0_IFRD1, 0_KLF7, 0_LUC7L3, 0_MAEA, 0_MYO6, 0_NDRG1, 0_NDUFB2, 0_RCOR3, 0_THBS1, 0_TNIP2, 0_ZC3H4, 0_ZDHHC24, 0_ZNF436, 0_ZNF687, 0_ADCY4, 0_AGPAT4, 0_ANGPTL4, 0_AP2B1, 0_ARHGDIA, 0_ARMC5, 0_C5orf34, 0_CCNY, 0_CHRNB1, 0_CLCN6, 0_COG1, 0_COX5A, 0_CSTF2, 0_CSTF3, 0_EIF4EBP1, 0_EXOG, 0_FGD6, 0_FLT4, 0_GBP1, 0_GHR, 0_GIGYF1, 0_GPRASP1, 0_GRHPR, 0_HDAC5, 0_LRRC61, 0_MME, 0_MOGS, 0_MRI1, 0_NEURL1B, 0_OPHN1, 0_OTUD6B, 0_PA2G4, 0_PCDHGA3, 0_PDE8A, 0_RBM22, 0_RNASET2, 0_RNF19B, 0_SLC12A7, 0_SLC25A10, 0_STX17, 0_STX4, 0_TFB1M, 0_TMEM176A, 0_TPRN, 0_TRIM69, 0_TTC19, 0_TUBG2, 0_UBAC1, 0_VGLL4, 0_ZNF540, 0_ABCC3, 0_ABHD3, 0_ACAD9, 0_ACLY, 0_ADAR, 0_AHNAK2, 0_AKR1C3, 0_ALG5, 0_ANK2, 0_ANO10, 0_ANO9, 0_AOAH, 0_AP2A2, 0_APP, 0_ARPC5L, 0_ARV1, 0_ATP6V1B1, 0_ATP6V1C2, 0_ATP6V1D, 0_ATXN7L1, 0_AZI2, 0_BDH1, 0_BDKRB1, 0_BLZF1, 0_C1orf54, 0_C3orf14, 0_C9orf78, 0_CACNA1C, 0_CAPG, 0_CAPNS1, 0_CAV1, 0_CAV2, 0_CBX3, 0_CCDC51, 0_CCDC68, 0_CCDC90B, 0_CD151, 0_CDH16, 0_CFL2, 0_CLPTM1L, 0_CTR9, 0_DCAF12L2, 0_DCP1A, 0_DDB1, 0_DHCR7, 0_DHODH, 0_DIABLO, 0_EGFR, 0_EID1, 0_EIF4H, 0_EPHB2, 0_EVI5L, 0_FER, 0_FGB, 0_FLRT3, 0_GAA, 0_GABARAPL1, 0_GANC, 0_GCNT2, 0_GEM, 0_GLI2, 0_GLRX5, 0_GOLGA3, 0_GPATCH8, 0_GPC4, 0_GPD1, 0_GPD2, 0_GPRIN2, 0_GRAMD1B, 0_GRTP1, 0_GTF2H1, 0_HAUS3, 0_HDHD2, 0_HEXIM2, 0_IKBIP, 0_IL23A, 0_ING2, 0_ISCU, 0_ITGA3, 0_JKAMP, 0_KHK, 0_LAPTM4A, 0_LATS2, 0_LBP, 0_LDB2, 0_LIG4, 0_LPCAT1, 0_LY86, 0_MAD1L1, 0_MCFD2, 0_MCL1, 0_MCM3, 0_MED4, 0_MEF2A, 0_MICAL2, 0_MIF, 0_MRPL47, 0_MRPS25, 0_MXI1, 0_MYC, 0_NAGPA, 0_NDUFA4, 0_NEK8, 0_NFE2L2, 0_NFKBIE, 0_NIPSNAP3A, 0_NLGN1, 0_NPM3, 0_NPR3, 0_NUDT4, 0_OGDHL, 0_PFDN5, 0_PHIP, 0_PITPNM2, 0_PLSCR3, 0_PNPLA3, 0_PON2, 0_PPIL4, 0_PPM1H, 0_PPRC1, 0_PRKACA, 0_PRPF40B, 0_PSMC6, 0_PUM1, 0_RAB10, 0_RASD2, 0_RBKS, 0_RIC8A, 0_RPA3, 0_RPL21, 0_RPS15, 0_SARDH, 0_SDC1, 0_SERGEF, 0_SETD7, 0_SHISA5, 0_SLC29A2, 0_SLC9A2, 0_SREBF2, 0_STK36, 0_SURF6, 0_TBC1D14, 0_TDRD5, 0_TFPT, 0_TGFA, 0_TIAM2, 0_TMEM116, 0_TOP2A, 0_TRIM17, 0_UAP1, 0_UBA7, 0_USP45, 0_VEZT, 0_VWF, 0_YWHAQ, 0_ZFYVE1, 0_ZNF280C, 0_ZNF346, 0_ZNF572, 0_ZNF81, 0_ZNHIT3, 0_ZRANB1]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
38 features: [0_TBC1D1, 0_EFNB2, 0_NDUFA4L2, 0_CDK18, 0_TPK1, 0_KCNE3, 0_PLXNB1, 0_TMEM139, 0_DYNC2LI1, 0_ELF3, 0_FLT4, 0_NTN1, 0_S1PR1, 0_ANGPTL4, 0_CFL2, 0_CLPTM1L, 0_CNTN5, 0_DCLK3, 0_EPHA3, 0_GIGYF1, 0_GPD1, 0_GPRIN2, 0_GRPEL2, 0_HNF1B, 0_IL23A, 0_KRT19, 0_MAD1L1, 0_MOGS, 0_NDOR1, 0_NEURL1B, 0_PDAP1, 0_RAC2, 0_SAP30, 0_STK38, 0_TAX1BP3, 0_TFB1M, 0_UBAC1, 0_VGLL4]

BEST SUMS WITH SIZE 100
Number of solutions = 100
Features in hall of fame by prevalence:
74 features: [0_TBC1D1, 0_EFNB2, 0_NDUFA4L2, 0_TPK1, 0_CDK18, 0_TMEM139, 0_DYNC2LI1, 0_KCNE3, 0_PLXNB1, 0_S1PR1, 0_BCL2L2, 0_DAAM2, 0_ELF3, 0_EPHA3, 0_FLT4, 0_GIGYF1, 0_GRPEL2, 0_KRT19, 0_NDOR1, 0_NDRG1, 0_NTN1, 0_TAX1BP3, 0_VGLL4, 0_ADAR, 0_AGPAT4, 0_AKR1C3, 0_ANGPTL4, 0_BPNT1, 0_C7, 0_C9orf116, 0_CAV1, 0_CFL2, 0_CHRNB1, 0_CLPTM1L, 0_CNTN5, 0_CP, 0_DCLK3, 0_DHX29, 0_DLGAP4, 0_EPHB2, 0_GBP1, 0_GCNT2, 0_GCNT3, 0_GGTLC2, 0_GPD1, 0_GPRIN2, 0_GTF2H1, 0_HNF1B, 0_HSPA9, 0_IL23A, 0_KLF7, 0_LFNG, 0_LYRM7, 0_MAD1L1, 0_MID1, 0_MOGS, 0_MYO10, 0_NAP1L5, 0_NELL1, 0_NEURL1B, 0_NFKB2, 0_NPM1, 0_PDAP1, 0_PDK4, 0_PITPNM2, 0_PKD1, 0_RAC2, 0_SAP30, 0_SLC16A10, 0_STK38, 0_TBC1D9B, 0_TFB1M, 0_TGFA, 0_UBAC1]
