
OPTIMIZING ON FOLD NUMBER 1
Number of workers = 80

COMPUTING LOCAL ACTIVE FEATURES
Computing active features for view clinic
Existing features: 7
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome survival
Features selected for this outcome: 2
Features active in total: 2
Computing active features for view log_mrna
Existing features: 20209
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome survival
Features selected for this outcome: 3625
Features active in total: 3625
Computing feature importance
Running optimizer

STARTING 2-STEPS GENETIC ALGORITHM

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA SARC_MV
Assigning strata for outcome named survival of type survival
Counts:
censored 0: 24
censored 1: 75
deceased 0: 28
deceased 1: 28

STARTING SWEEP NUMBER 1
folds_creator_seed = 4107908117

ASSIGNING STRATA FOR MULTI-OUTCOME DATA SARC_MV
Assigning strata for outcome named survival of type survival
Counts:
censored 0: 24
censored 1: 75
deceased 0: 28
deceased 1: 28
ga_runner_seed = 3091794638
VIEW: CLINIC
   	     	         	        	   survival SKSurv Cox model concordance index   	             root leanness              
   	     	         	        	-------------------------------------------------	----------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std                  	min    	avg     	max	std     
287 features: [1_PPP1R11.6992, 1_PTPN20B.26095, 1_CCDC122.160857, 1_GALNT12.79695, 1_C22orf26.55267, 1_AKAP4.8852, 1_TSPYL2.64061, 1_TCTEX1D4.343521, 1_FBXO8.26269, 1_DNM1L.10059, 1_THOC2.57187, 1_C4orf10.317648, 1_CARTPT.9607, 1_MCHR2.84539, 1_LOC442421.442421, 1_ALG13.79868, 1_SPRYD5.84767, 1_KIAA0146.23514, 1_MMP27.64066, 1_PRPF38B.55119, 1_COL15A1.1306, 1_LOC494141.494141, 1_FOXO1.2308, 1_RNF11.26994, 1_CHRNA10.57053, 1_NLRP10.338322, 1_MVP.9961, 0_age_at_initial_pathologic_diagnosis, 1_CDKN2B.1030, 1_PPP1R16A.84988, 1_LRFN5.145581, 1_VIPR1.7433, 1_RIOK1.83732, 1_DOCK8.81704, 1_LOC727924.727924, 1_PGRMC1.10857, 1_PRRC1.133619, 1_DHH.50846, 1_PRSS22.64063, 1_SYNCRIP.10492, 1_ZRANB2.9406, 1_LOC440563.440563, 1_CYB5D2.124936, 1_IFNA13.3447, 1_PLCG1.5335, 1_PSCA.8000, 1_SLC25A14.9016, 1_SLC38A11.151258, 1_SPRY4.81848, 1_SULF1.23213, 1_SNHG3.RCC1.751867, 1_UBE2A.7319, 1_APOBEC3G.60489, 1_FAM99A.387742, 1_OR2W5.441932, 1_ZMPSTE24.10269, 1_CXCR3.2833, 1_IL12B.3593, 1_MMGT1.93380, 1_SLC7A1.6541, 1_TTC15.51112, 1_ALDH1A1.216, 1_C15orf51.196968, 1_CARD6.84674, 1_HDAC2.3066, 1_KIAA1683.80726, 1_NFKB2.4791, 1_RFT1.91869, 1_RNF213.57674, 1_SLC12A6.9990, 1_SORCS1.114815, 1_TEKT2.27285, 1_B3GALT4.8705, 1_C11orf36.283303, 1_C17orf62.79415, 1_CCDC152.100129792, 1_DEFB1.1672, 1_FAM101B.359845, 1_LCP2.3937, 1_NGRN.51335, 1_NOL11.25926, 1_NT5E.4907, 1_NUDT13.25961, 1_PSMD10.5716, 1_RGS13.6003, 1_RPS8.6202, 1_SCUBE3.222663, 1_TDGF1.6997, 1_TWISTNB.221830, 1_XKR3.150165, 1_XRCC2.7516, 0_race_WHITE, 1_ARFGEF1.10565, 1_ARHGEF10L.55160, 1_ATAD5.79915, 1_BHLHB9.80823, 1_C1orf66.51093, 1_C6orf134.79969, 1_CASP5.838, 1_CSNK1E.1454, 1_DNASE1L3.1776, 1_DUSP27.92235, 1_EFHD1.80303, 1_EFNA3.1944, 1_EIF2C2.27161, 1_ELAVL2.1993, 1_ELMOD3.84173, 1_FIP1L1.81608, 1_GZMA.3001, 1_HNRNPU.3192, 1_IFNG.3458, 1_ILF3.3609, 1_KCNK18.338567, 1_KIAA1524.57650, 1_LIG3.3980, 1_LOC100128811.100128811, 1_MATN1.4146, 1_MGST2.4258, 1_MIB1.57534, 1_MTF2.22823, 1_NAGK.55577, 1_NAPSA.9476, 1_NAT14.57106, 1_NCRNA00093.100188954, 1_OSTN.344901, 1_PITX1.5307, 1_POLD2.5425, 1_PON3.5446, 1_PPARD.5467, 1_PRKCI.5584, 1_PTPRM.5797, 1_RNGTT.8732, 1_RPSAP52.204010, 1_SERPINB7.8710, 1_SFPQ.6421, 1_SNAP91.9892, 1_ST6GAL2.84620, 1_TAS2R30.259293, 1_TMCO4.255104, 1_TPK1.27010, 1_ZNF665.79788, 1_ABCD3.5825, 1_AGXT2L2.85007, 1_ANKRD13C.81573, 1_ATXN7L3.56970, 1_BAT3.7917, 1_BEST1.7439, 1_BTK.695, 1_C14orf39.317761, 1_C21orf63.59271, 1_CAPN11.11131, 1_CCDC69.26112, 1_CD200R1.131450, 1_CDC5L.988, 1_CEBPB.1051, 1_CES1.1066, 1_CLDN19.149461, 1_CLEC10A.10462, 1_CLEC14A.161198, 1_CLVS2.134829, 1_CMPK1.51727, 1_CPT1A.1374, 1_CRABP1.1381, 1_DAB2.1601, 1_DARC.2532, 1_DHRS12.79758, 1_DHX36.170506, 1_ENY2.56943, 1_FAM196B.100131897, 1_FAM81B.153643, 1_FOXJ3.22887, 1_FOXO3B.2310, 1_FRY.10129, 1_FZD7.8324, 1_GALK2.2585, 1_GDE1.51573, 1_GPIHBP1.338328, 1_GPR34.2857, 1_GPX5.2880, 1_HEG1.57493, 1_HLA.C.3107, 1_HPS1.3257, 1_ICAM2.3384, 1_IMPDH2.3615, 1_INCA1.388324, 1_ITPRIPL1.150771, 1_KIF15.56992, 1_KIR3DL2.3812, 1_LAP3.51056, 1_LARP4B.23185, 1_LARS.51520, 1_LASS4.79603, 1_LBP.3929, 1_LGALS9.3965, 1_LHX8.431707, 1_LOC152225.152225, 1_LOC282997.282997, 1_LOC729156.729156, 1_LRFN4.78999, 1_LRRC41.10489, 1_LRRC42.115353, 1_LRRK2.120892, 1_LTF.4057, 1_LYSMD2.256586, 1_MAP3K12.7786, 1_MARCH2.51257, 1_MCF2L2.23101, 1_MFSD7.84179, 1_MLLT6.4302, 1_MMACHC.25974, 1_MPP1.4354, 1_MRPL3.11222, 1_MRPL54.116541, 1_MYT1.4661, 1_NAA20.51126, 1_NCOA6.23054, 1_NDST4.64579, 1_NFU1.27247, 1_NKRF.55922, 1_NR1D1.9572, 1_ODF3B.440836, 1_OPN4.94233, 1_OR6B1.135946, 1_OXTR.5021, 1_PATE2.399967, 1_PDE1B.5153, 1_PDHA1.5160, 1_PDK4.5166, 1_PDZD9.255762, 1_PGM1.5236, 1_PHF13.148479, 1_PHF6.84295, 1_PITRM1.10531, 1_PITX3.5309, 1_PPIAL4E.730262, 1_PPY2.23614, 1_PRDM8.56978, 1_PRKDC.5591, 1_PSMB9.5698, 1_PTGER3.5733, 1_PTPLAD2.401494, 1_PTRF.284119, 1_RAB4B.53916, 1_RAB7L1.8934, 1_RAD21.5885, 1_RASSF2.9770, 1_RETSAT.54884, 1_RNF112.7732, 1_RPGRIP1L.23322, 1_RPL7L1.285855, 1_RPRD1B.58490, 1_RSRC2.65117, 1_SCML4.256380, 1_SDR42E1.93517, 1_SEMA7A.8482, 1_SGSH.6448, 1_SHROOM2.357, 1_SLC12A1.6557, 1_SLC24A1.9187, 1_SLC38A10.124565, 1_SLCO1C1.53919, 1_SMOC2.64094, 1_SNHG4.724102, 1_SNRNP40.9410, 1_SRRT.51593, 1_TEKT3.64518, 1_TENC1.23371, 1_TIPIN.54962, 1_TMEM68.137695, 1_TNF.7124, 1_TPI1.7167, 1_TRMT6.51605, 1_TSKS.60385, 1_TXNDC2.84203, 1_TYROBP.7305, 1_UBASH3A.53347, 1_UBE2R2.54926, 1_UCP2.7351, 1_USHBP1.83878, 1_VAMP8.8673, 1_VPREB3.29802, 1_VSIG4.11326, 1_WIBG.84305, 1_WRNIP1.56897, 1_ZCCHC11.23318, 1_ZNF135.7694, 1_ZNF71.58491]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
45 features: [1_GALNT12.79695, 1_DHH.50846, 1_NUDT13.25961, 1_SYNCRIP.10492, 1_THOC2.57187, 1_ALDH1A1.216, 1_AZIN1.51582, 1_B3GALT4.8705, 1_B3GNT8.374907, 1_BAT3.7917, 1_C13orf33.84935, 1_C22orf26.55267, 1_CCDC69.26112, 1_CMA1.1215, 1_COL15A1.1306, 1_DARC.2532, 1_DHRS12.79758, 1_DHX15.1665, 1_DNASE1L3.1776, 1_EIF2C2.27161, 1_FAM171A2.284069, 1_GPR146.115330, 1_HDAC2.3066, 1_HNMT.3176, 1_LTF.4057, 1_MARCH2.51257, 1_MCOLN1.57192, 1_NEURL2.140825, 1_NKRF.55922, 1_PHF6.84295, 1_PLA2G16.11145, 1_PLCG1.5335, 1_PPP1R11.6992, 1_PRKDC.5591, 1_PSMD10.5716, 1_RAD21.5885, 1_SH2D3C.10044, 1_SLC2A1.6513, 1_SLC9A6.10479, 1_SNX21.90203, 1_SULT1A1.6817, 1_TMEM48.55706, 1_TRMT6.51605, 1_WDHD1.11169, 1_YEATS2.55689]

BEST SUMS WITH SIZE 100
Number of solutions = 100
Features in hall of fame by prevalence:
90 features: [1_GALNT12.79695, 1_THOC2.57187, 1_DHH.50846, 1_DNASE1L3.1776, 1_HDAC2.3066, 1_NUDT13.25961, 1_PPP1R11.6992, 1_PSMD10.5716, 1_SYNCRIP.10492, 1_TRMT6.51605, 1_AGAP11.119385, 1_ALDH1A1.216, 1_ALG6.29929, 1_AMICA1.120425, 1_ARHGAP15.55843, 1_AZIN1.51582, 1_B3GALT4.8705, 1_B3GNT8.374907, 1_BAT3.7917, 1_BYSL.705, 1_C13orf33.84935, 1_C1orf200.644997, 1_C20orf135.140701, 1_C22orf26.55267, 1_CCDC52.152185, 1_CCDC69.26112, 1_CCT6A.908, 1_CHRNA10.57053, 1_CMA1.1215, 1_COL15A1.1306, 1_DARC.2532, 1_DEFB1.1672, 1_DHRS12.79758, 1_DHX15.1665, 1_DKC1.1736, 1_DUSP27.92235, 1_EIF2C2.27161, 1_ELAC1.55520, 1_FAM171A2.284069, 1_FLJ36777.730971, 1_GINS1.9837, 1_GINS4.84296, 1_GPR146.115330, 1_HNMT.3176, 1_INCENP.3619, 1_KIAA1671.85379, 1_LMCD1.29995, 1_LRRC40.55631, 1_LTF.4057, 1_MAGEA6.4105, 1_MARCH2.51257, 1_MCOLN1.57192, 1_NAAA.27163, 1_NEURL2.140825, 1_NKRF.55922, 1_NPM1.4869, 1_OSGIN1.29948, 1_PAPSS1.9061, 1_PHF6.84295, 1_PISD.23761, 1_PLA2G16.11145, 1_PLCG1.5335, 1_POP1.10940, 1_PRKDC.5591, 1_PTPN20B.26095, 1_RAB7L1.8934, 1_RAD21.5885, 1_RAN.5901, 1_RHOQ.23433, 1_RIOK1.83732, 1_RPS8.6202, 1_SELL.6402, 1_SH2D3C.10044, 1_SHROOM2.357, 1_SIGLEC15.284266, 1_SLC2A1.6513, 1_SLC9A6.10479, 1_SNX21.90203, 1_SULT1A1.6817, 1_SUPT3H.8464, 1_TLR10.81793, 1_TMEM48.55706, 1_TMEM65.157378, 1_TOP2B.7155, 1_TRIM50.135892, 1_TSPYL2.64061, 1_VPS39.23339, 1_WDHD1.11169, 1_YEATS2.55689, 1_ZNF563.147837]
Optimization on fold finished in 00-00:50:25

FEATURE SETS SELECTED

PARETO FRONT
Number of solutions = 23
Features in hall of fame by prevalence:
49 features: [1_PPP1R11.6992, 1_GALNT12.79695, 1_PTPN20B.26095, 1_C22orf26.55267, 1_CCDC122.160857, 1_TCTEX1D4.343521, 1_THOC2.57187, 1_TSPYL2.64061, 1_AKAP4.8852, 1_DNM1L.10059, 1_FBXO8.26269, 1_CARTPT.9607, 1_MCHR2.84539, 1_C4orf10.317648, 1_LOC442421.442421, 1_ALG13.79868, 1_COL15A1.1306, 1_SPRYD5.84767, 1_KIAA0146.23514, 1_MMP27.64066, 1_PRPF38B.55119, 1_LOC440563.440563, 1_LOC494141.494141, 1_CDKN2B.1030, 1_CHRNA10.57053, 1_FOXO1.2308, 1_LRFN5.145581, 1_RNF11.26994, 1_SLC7A1.6541, 0_age_at_initial_pathologic_diagnosis, 1_CLEC10A.10462, 1_DAB2.1601, 1_DHH.50846, 1_FIP1L1.81608, 1_IL12B.3593, 1_KIAA1683.80726, 1_KIF15.56992, 1_MVP.9961, 1_NAT14.57106, 1_NLRP10.338322, 1_PLCG1.5335, 1_PPP1R16A.84988, 1_PRKCI.5584, 1_PRRC1.133619, 1_PRSS22.64063, 1_PSCA.8000, 1_SORCS1.114815, 1_TEKT2.27285, 1_TTC15.51112]

LAST POPULATION
Number of solutions = 500
Features in hall of fame by prevalence:
287 features: [1_PPP1R11.6992, 1_PTPN20B.26095, 1_CCDC122.160857, 1_GALNT12.79695, 1_C22orf26.55267, 1_AKAP4.8852, 1_TSPYL2.64061, 1_TCTEX1D4.343521, 1_FBXO8.26269, 1_DNM1L.10059, 1_THOC2.57187, 1_C4orf10.317648, 1_CARTPT.9607, 1_MCHR2.84539, 1_LOC442421.442421, 1_ALG13.79868, 1_SPRYD5.84767, 1_KIAA0146.23514, 1_MMP27.64066, 1_PRPF38B.55119, 1_COL15A1.1306, 1_LOC494141.494141, 1_FOXO1.2308, 1_RNF11.26994, 1_CHRNA10.57053, 1_NLRP10.338322, 1_MVP.9961, 0_age_at_initial_pathologic_diagnosis, 1_CDKN2B.1030, 1_PPP1R16A.84988, 1_LRFN5.145581, 1_VIPR1.7433, 1_RIOK1.83732, 1_DOCK8.81704, 1_LOC727924.727924, 1_PGRMC1.10857, 1_PRRC1.133619, 1_DHH.50846, 1_PRSS22.64063, 1_SYNCRIP.10492, 1_ZRANB2.9406, 1_LOC440563.440563, 1_CYB5D2.124936, 1_IFNA13.3447, 1_PLCG1.5335, 1_PSCA.8000, 1_SLC25A14.9016, 1_SLC38A11.151258, 1_SPRY4.81848, 1_SULF1.23213, 1_SNHG3.RCC1.751867, 1_UBE2A.7319, 1_APOBEC3G.60489, 1_FAM99A.387742, 1_OR2W5.441932, 1_ZMPSTE24.10269, 1_CXCR3.2833, 1_IL12B.3593, 1_MMGT1.93380, 1_SLC7A1.6541, 1_TTC15.51112, 1_ALDH1A1.216, 1_C15orf51.196968, 1_CARD6.84674, 1_HDAC2.3066, 1_KIAA1683.80726, 1_NFKB2.4791, 1_RFT1.91869, 1_RNF213.57674, 1_SLC12A6.9990, 1_SORCS1.114815, 1_TEKT2.27285, 1_B3GALT4.8705, 1_C11orf36.283303, 1_C17orf62.79415, 1_CCDC152.100129792, 1_DEFB1.1672, 1_FAM101B.359845, 1_LCP2.3937, 1_NGRN.51335, 1_NOL11.25926, 1_NT5E.4907, 1_NUDT13.25961, 1_PSMD10.5716, 1_RGS13.6003, 1_RPS8.6202, 1_SCUBE3.222663, 1_TDGF1.6997, 1_TWISTNB.221830, 1_XKR3.150165, 1_XRCC2.7516, 0_race_WHITE, 1_ARFGEF1.10565, 1_ARHGEF10L.55160, 1_ATAD5.79915, 1_BHLHB9.80823, 1_C1orf66.51093, 1_C6orf134.79969, 1_CASP5.838, 1_CSNK1E.1454, 1_DNASE1L3.1776, 1_DUSP27.92235, 1_EFHD1.80303, 1_EFNA3.1944, 1_EIF2C2.27161, 1_ELAVL2.1993, 1_ELMOD3.84173, 1_FIP1L1.81608, 1_GZMA.3001, 1_HNRNPU.3192, 1_IFNG.3458, 1_ILF3.3609, 1_KCNK18.338567, 1_KIAA1524.57650, 1_LIG3.3980, 1_LOC100128811.100128811, 1_MATN1.4146, 1_MGST2.4258, 1_MIB1.57534, 1_MTF2.22823, 1_NAGK.55577, 1_NAPSA.9476, 1_NAT14.57106, 1_NCRNA00093.100188954, 1_OSTN.344901, 1_PITX1.5307, 1_POLD2.5425, 1_PON3.5446, 1_PPARD.5467, 1_PRKCI.5584, 1_PTPRM.5797, 1_RNGTT.8732, 1_RPSAP52.204010, 1_SERPINB7.8710, 1_SFPQ.6421, 1_SNAP91.9892, 1_ST6GAL2.84620, 1_TAS2R30.259293, 1_TMCO4.255104, 1_TPK1.27010, 1_ZNF665.79788, 1_ABCD3.5825, 1_AGXT2L2.85007, 1_ANKRD13C.81573, 1_ATXN7L3.56970, 1_BAT3.7917, 1_BEST1.7439, 1_BTK.695, 1_C14orf39.317761, 1_C21orf63.59271, 1_CAPN11.11131, 1_CCDC69.26112, 1_CD200R1.131450, 1_CDC5L.988, 1_CEBPB.1051, 1_CES1.1066, 1_CLDN19.149461, 1_CLEC10A.10462, 1_CLEC14A.161198, 1_CLVS2.134829, 1_CMPK1.51727, 1_CPT1A.1374, 1_CRABP1.1381, 1_DAB2.1601, 1_DARC.2532, 1_DHRS12.79758, 1_DHX36.170506, 1_ENY2.56943, 1_FAM196B.100131897, 1_FAM81B.153643, 1_FOXJ3.22887, 1_FOXO3B.2310, 1_FRY.10129, 1_FZD7.8324, 1_GALK2.2585, 1_GDE1.51573, 1_GPIHBP1.338328, 1_GPR34.2857, 1_GPX5.2880, 1_HEG1.57493, 1_HLA.C.3107, 1_HPS1.3257, 1_ICAM2.3384, 1_IMPDH2.3615, 1_INCA1.388324, 1_ITPRIPL1.150771, 1_KIF15.56992, 1_KIR3DL2.3812, 1_LAP3.51056, 1_LARP4B.23185, 1_LARS.51520, 1_LASS4.79603, 1_LBP.3929, 1_LGALS9.3965, 1_LHX8.431707, 1_LOC152225.152225, 1_LOC282997.282997, 1_LOC729156.729156, 1_LRFN4.78999, 1_LRRC41.10489, 1_LRRC42.115353, 1_LRRK2.120892, 1_LTF.4057, 1_LYSMD2.256586, 1_MAP3K12.7786, 1_MARCH2.51257, 1_MCF2L2.23101, 1_MFSD7.84179, 1_MLLT6.4302, 1_MMACHC.25974, 1_MPP1.4354, 1_MRPL3.11222, 1_MRPL54.116541, 1_MYT1.4661, 1_NAA20.51126, 1_NCOA6.23054, 1_NDST4.64579, 1_NFU1.27247, 1_NKRF.55922, 1_NR1D1.9572, 1_ODF3B.440836, 1_OPN4.94233, 1_OR6B1.135946, 1_OXTR.5021, 1_PATE2.399967, 1_PDE1B.5153, 1_PDHA1.5160, 1_PDK4.5166, 1_PDZD9.255762, 1_PGM1.5236, 1_PHF13.148479, 1_PHF6.84295, 1_PITRM1.10531, 1_PITX3.5309, 1_PPIAL4E.730262, 1_PPY2.23614, 1_PRDM8.56978, 1_PRKDC.5591, 1_PSMB9.5698, 1_PTGER3.5733, 1_PTPLAD2.401494, 1_PTRF.284119, 1_RAB4B.53916, 1_RAB7L1.8934, 1_RAD21.5885, 1_RASSF2.9770, 1_RETSAT.54884, 1_RNF112.7732, 1_RPGRIP1L.23322, 1_RPL7L1.285855, 1_RPRD1B.58490, 1_RSRC2.65117, 1_SCML4.256380, 1_SDR42E1.93517, 1_SEMA7A.8482, 1_SGSH.6448, 1_SHROOM2.357, 1_SLC12A1.6557, 1_SLC24A1.9187, 1_SLC38A10.124565, 1_SLCO1C1.53919, 1_SMOC2.64094, 1_SNHG4.724102, 1_SNRNP40.9410, 1_SRRT.51593, 1_TEKT3.64518, 1_TENC1.23371, 1_TIPIN.54962, 1_TMEM68.137695, 1_TNF.7124, 1_TPI1.7167, 1_TRMT6.51605, 1_TSKS.60385, 1_TXNDC2.84203, 1_TYROBP.7305, 1_UBASH3A.53347, 1_UBE2R2.54926, 1_UCP2.7351, 1_USHBP1.83878, 1_VAMP8.8673, 1_VPREB3.29802, 1_VSIG4.11326, 1_WIBG.84305, 1_WRNIP1.56897, 1_ZCCHC11.23318, 1_ZNF135.7694, 1_ZNF71.58491]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
45 features: [1_GALNT12.79695, 1_DHH.50846, 1_NUDT13.25961, 1_SYNCRIP.10492, 1_THOC2.57187, 1_ALDH1A1.216, 1_AZIN1.51582, 1_B3GALT4.8705, 1_B3GNT8.374907, 1_BAT3.7917, 1_C13orf33.84935, 1_C22orf26.55267, 1_CCDC69.26112, 1_CMA1.1215, 1_COL15A1.1306, 1_DARC.2532, 1_DHRS12.79758, 1_DHX15.1665, 1_DNASE1L3.1776, 1_EIF2C2.27161, 1_FAM171A2.284069, 1_GPR146.115330, 1_HDAC2.3066, 1_HNMT.3176, 1_LTF.4057, 1_MARCH2.51257, 1_MCOLN1.57192, 1_NEURL2.140825, 1_NKRF.55922, 1_PHF6.84295, 1_PLA2G16.11145, 1_PLCG1.5335, 1_PPP1R11.6992, 1_PRKDC.5591, 1_PSMD10.5716, 1_RAD21.5885, 1_SH2D3C.10044, 1_SLC2A1.6513, 1_SLC9A6.10479, 1_SNX21.90203, 1_SULT1A1.6817, 1_TMEM48.55706, 1_TRMT6.51605, 1_WDHD1.11169, 1_YEATS2.55689]

BEST SUMS WITH SIZE 100
Number of solutions = 100
Features in hall of fame by prevalence:
90 features: [1_GALNT12.79695, 1_THOC2.57187, 1_DHH.50846, 1_DNASE1L3.1776, 1_HDAC2.3066, 1_NUDT13.25961, 1_PPP1R11.6992, 1_PSMD10.5716, 1_SYNCRIP.10492, 1_TRMT6.51605, 1_AGAP11.119385, 1_ALDH1A1.216, 1_ALG6.29929, 1_AMICA1.120425, 1_ARHGAP15.55843, 1_AZIN1.51582, 1_B3GALT4.8705, 1_B3GNT8.374907, 1_BAT3.7917, 1_BYSL.705, 1_C13orf33.84935, 1_C1orf200.644997, 1_C20orf135.140701, 1_C22orf26.55267, 1_CCDC52.152185, 1_CCDC69.26112, 1_CCT6A.908, 1_CHRNA10.57053, 1_CMA1.1215, 1_COL15A1.1306, 1_DARC.2532, 1_DEFB1.1672, 1_DHRS12.79758, 1_DHX15.1665, 1_DKC1.1736, 1_DUSP27.92235, 1_EIF2C2.27161, 1_ELAC1.55520, 1_FAM171A2.284069, 1_FLJ36777.730971, 1_GINS1.9837, 1_GINS4.84296, 1_GPR146.115330, 1_HNMT.3176, 1_INCENP.3619, 1_KIAA1671.85379, 1_LMCD1.29995, 1_LRRC40.55631, 1_LTF.4057, 1_MAGEA6.4105, 1_MARCH2.51257, 1_MCOLN1.57192, 1_NAAA.27163, 1_NEURL2.140825, 1_NKRF.55922, 1_NPM1.4869, 1_OSGIN1.29948, 1_PAPSS1.9061, 1_PHF6.84295, 1_PISD.23761, 1_PLA2G16.11145, 1_PLCG1.5335, 1_POP1.10940, 1_PRKDC.5591, 1_PTPN20B.26095, 1_RAB7L1.8934, 1_RAD21.5885, 1_RAN.5901, 1_RHOQ.23433, 1_RIOK1.83732, 1_RPS8.6202, 1_SELL.6402, 1_SH2D3C.10044, 1_SHROOM2.357, 1_SIGLEC15.284266, 1_SLC2A1.6513, 1_SLC9A6.10479, 1_SNX21.90203, 1_SULT1A1.6817, 1_SUPT3H.8464, 1_TLR10.81793, 1_TMEM48.55706, 1_TMEM65.157378, 1_TOP2B.7155, 1_TRIM50.135892, 1_TSPYL2.64061, 1_VPS39.23339, 1_WDHD1.11169, 1_YEATS2.55689, 1_ZNF563.147837]
